	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL
Assembly	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10
# contigs (>= 0 bp)	294	37	31	3061	3061	30	63	20	40	458	459	30	440	99	114	105	8	123	638	381	544	1695	89	524	2306	311	627	865	43	423	3706	2176	2615	5046	102	2457
# contigs (>= 1000 bp)	294	37	31	3061	3061	30	63	20	40	458	459	30	440	99	114	105	7	123	638	381	544	1695	87	524	2306	311	627	865	37	423	3706	2176	2615	5046	100	2457
# contigs (>= 5000 bp)	294	37	31	2960	2960	30	63	20	40	442	443	30	438	96	112	80	6	121	632	359	538	1623	50	518	2305	308	626	792	20	422	3703	2163	2612	4922	54	2454
# contigs (>= 10000 bp)	294	37	31	2891	2891	30	63	20	40	438	439	30	436	94	110	70	5	120	630	354	536	1583	28	517	2302	305	623	750	17	419	3689	2147	2598	4841	30	2440
# contigs (>= 25000 bp)	294	37	31	2723	2723	30	60	18	37	405	405	27	400	66	86	39	4	89	565	299	472	1383	11	455	2232	235	556	612	16	359	3512	1942	2422	4321	5	2275
# contigs (>= 50000 bp)	294	35	31	2214	2216	30	49	12	26	345	345	19	353	48	67	20	2	75	418	197	325	1034	7	349	2109	142	452	388	10	307	3015	1363	1929	3588	3	1900
Total length (>= 0 bp)	3051512983	3051540883	3051565583	3052668983	3053824983	3051515994	138827978	138832278	138832578	139011478	139195478	138830976	189186877	189221677	189252077	189413583	2317482	189199200	1397993908	1398032408	1398012708	1398389542	8958641	1397571636	2411361965	2411562765	2411697765	2412481275	4433918	2410699653	2849963252	2850154052	2850181452	2850350736	1314002	2848196041
Total length (>= 1000 bp)	3051512983	3051540883	3051565583	3052668983	3053824983	3051515994	138827978	138832278	138832578	139011478	139195478	138830976	189186877	189221677	189252077	189413583	2316982	189199200	1397993908	1398032408	1398012708	1398389542	8958639	1397571636	2411361965	2411562765	2411697765	2412481275	4430918	2410699653	2849963252	2850154052	2850181452	2850350736	1314000	2848196041
Total length (>= 5000 bp)	3051512983	3051540883	3051565583	3052440796	3053596796	3051515994	138827978	138832278	138832578	138978478	139162478	138830976	189183877	189217677	189249077	189359466	2315982	189196000	1397980908	1397994408	1397999708	1398227729	8888639	1397558036	2411359965	2411557765	2411695765	2412323100	4385918	2410697553	2849955745	2850128545	2850173945	2850049242	1219000	2848188234
