Epoch	Train loss	Train accuracy	Train precision	Train recall	Train weighted F1	Train macro F1	Train ROC AUC	Train weighted AP	Train NPV	Val loss	Val accuracy	Val precision	Val recall	Val weighted F1	Val macro F1	Val ROC AUC	Val weighted AP	Val NPV
00	0.01821	0.98864	0.98873	0.98863	0.98863	0.98863	0.99893	0.97973	0.99565	0.01633	0.98979	0.99087	0.99086	0.99086	0.98921	0.99924	0.99212	0.98291
01	0.01381	0.99106	0.99115	0.99105	0.99105	0.99105	0.99931	0.98329	0.99805	0.01264	0.99198	0.99422	0.99422	0.99422	0.99315	0.99928	0.99334	0.99467
02	0.01290	0.99151	0.99159	0.99150	0.99150	0.99150	0.99938	0.98414	0.99813	0.01147	0.99239	0.99481	0.99480	0.99480	0.99384	0.99936	0.99359	0.99663
03	0.01248	0.99180	0.99188	0.99180	0.99180	0.99180	0.99941	0.98467	0.99823	0.01292	0.99222	0.99394	0.99394	0.99394	0.99283	0.99937	0.99369	0.99217
04	0.01210	0.99201	0.99208	0.99201	0.99201	0.99201	0.99943	0.98508	0.99822	0.01494	0.99071	0.99158	0.99156	0.99157	0.99004	0.99937	0.99287	0.98375
05	0.01164	0.99234	0.99240	0.99233	0.99233	0.99233	0.99946	0.98565	0.99835	0.01312	0.99180	0.99323	0.99324	0.99323	0.99200	0.99935	0.99347	0.98958
06	0.01129	0.99258	0.99264	0.99258	0.99258	0.99258	0.99948	0.98610	0.99842	0.01243	0.99177	0.99319	0.99320	0.99319	0.99195	0.99938	0.99346	0.98944
07	0.01090	0.99286	0.99292	0.99286	0.99286	0.99286	0.99951	0.98661	0.99848	0.01224	0.99219	0.99367	0.99367	0.99367	0.99252	0.99940	0.99374	0.99074
08	0.01057	0.99309	0.99314	0.99308	0.99308	0.99308	0.99953	0.98702	0.99855	0.01416	0.99119	0.99206	0.99205	0.99205	0.99061	0.99937	0.99322	0.98487
09	0.01042	0.99320	0.99325	0.99319	0.99319	0.99319	0.99954	0.98724	0.99853	0.01419	0.99114	0.99217	0.99216	0.99217	0.99074	0.99936	0.99312	0.98570
