Dataset	Assembly download link	Hi-C reads download links	Link
CHM13v2	s3://human-pangenomics/T2T/CHM13/assemblies/analysis_set/chm13v2.0_noY.fa.gz	s3://human-pangenomics/T2T/CHM13/arima/CHM13.rep1_lane1_R1.fastq.gz	https://github.com/marbl/CHM13
CHM13v2	s3://human-pangenomics/T2T/CHM13/assemblies/analysis_set/chm13v2.0_noY.fa.gz	s3://human-pangenomics/T2T/CHM13/arima/CHM13.rep1_lane1_R1.fastq.gz	https://github.com/marbl/CHM13
HG002v1.1	s3://human-pangenomics/T2T/HG002/assemblies/hg002v1.1.fasta.gz	s3://human-pangenomics/working/HPRC_PLUS/HG002/raw_data/hic/downsampled/HG002.HiC_2_NovaSeq_rep1_run2_S1_L001_R1_001.fastq.gz	https://github.com/marbl/HG002
HG002v1.1	s3://human-pangenomics/T2T/HG002/assemblies/hg002v1.1.fasta.gz	s3://human-pangenomics/working/HPRC_PLUS/HG002/raw_data/hic/downsampled/HG002.HiC_2_NovaSeq_rep1_run2_S1_L001_R2_001.fastq.gz	https://github.com/marbl/HG002
A. gentilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/929/443/795/GCA_929443795.2_bAccGen1.2/GCA_929443795.2_bAccGen1.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR722/002/ERR7220462/ERR7220462_1.fastq.gz	https://portal.darwintreeoflife.org/data/Astur%20gentilis
A. gentilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/929/443/795/GCA_929443795.2_bAccGen1.2/GCA_929443795.2_bAccGen1.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR722/002/ERR7220462/ERR7220462_2.fastq.gz	https://portal.darwintreeoflife.org/data/Astur%20gentilis
A. thaliana	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/933/208/065/GCA_933208065.1_ddAraThal4.1/GCA_933208065.1_ddAraThal4.1_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR870/009/ERR8702799/ERR8702799_1.fastq.gz	https://portal.darwintreeoflife.org/data/Arabidopsis%20thaliana
A. thaliana	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/933/208/065/GCA_933208065.1_ddAraThal4.1/GCA_933208065.1_ddAraThal4.1_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR870/009/ERR8702799/ERR8702799_2.fastq.gz	https://portal.darwintreeoflife.org/data/Arabidopsis%20thaliana
B. physalus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/194/765/GCA_965194765.1_mBalPhy2.hap2.1/GCA_965194765.1_mBalPhy2.hap2.1_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13248928/ERR13248928_1.fastq.gz	https://portal.darwintreeoflife.org/data/Balaenoptera%20physalus
B. physalus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/194/765/GCA_965194765.1_mBalPhy2.hap2.1/GCA_965194765.1_mBalPhy2.hap2.1_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/028/ERR13248928/ERR13248928_2.fastq.gz	https://portal.darwintreeoflife.org/data/Balaenoptera%20physalus
D. histrio	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/958/299/025/GCA_958299025.2_idDroHist2.2/GCA_958299025.2_idDroHist2.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10466805/ERR10466805_1.fastq.gz	https://portal.darwintreeoflife.org/data/Drosophila%20histrio
D. histrio	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/958/299/025/GCA_958299025.2_idDroHist2.2/GCA_958299025.2_idDroHist2.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10466805/ERR10466805_2.fastq.gz	https://portal.darwintreeoflife.org/data/Drosophila%20histrio
V. vulpes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/106/825/GCA_964106825.2_mVulVul1.hap1.2/GCA_964106825.2_mVulVul1.hap1.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/084/ERR12862084/ERR12862084_1.fastq.gz	https://portal.darwintreeoflife.org/data/Vulpes%20vulpes
V. vulpes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/106/825/GCA_964106825.2_mVulVul1.hap1.2/GCA_964106825.2_mVulVul1.hap1.2_genomic.fna.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR128/084/ERR12862084/ERR12862084_2.fastq.gz	https://portal.darwintreeoflife.org/data/Vulpes%20vulpes
