	HG002.B10M	HG002.B10M	AT.DtoL	AT.DtoL	Dro.DtoL	Dro.DtoL	AG.DtoL	AG.DtoL	Vul.DtoL	Vul.DtoL	BP.DtoL	BP.DtoL
Assembly	SPA-C.MR10	SPA-C.MR10.noLD	SPA-C.MR10	SPA-C.MR10.noLD	SPA-C.MR10	SPA-C.MR10.noLD	SPA-C.MR10	SPA-C.MR10.noLD	SPA-C.MR10	SPA-C.MR10.noLD	SPA-C.MR10	SPA-C.MR10.noLD
# contigs (>= 0 bp)	30	36	30	56	123	134	524	695	423	440	2457	2656
# contigs (>= 1000 bp)	30	36	30	56	123	134	524	695	423	440	2457	2656
# contigs (>= 5000 bp)	30	36	30	56	121	132	518	689	422	439	2454	2653
# contigs (>= 10000 bp)	30	36	30	56	120	131	517	688	419	436	2440	2639
# contigs (>= 25000 bp)	30	36	27	52	89	100	455	626	359	376	2275	2473
# contigs (>= 50000 bp)	30	36	19	44	75	86	349	519	307	324	1900	2094
Total length (>= 0 bp)	3051515994	3051516596	138830976	138568504	189199200	189200301	1397571636	1396924746	2410699653	2410496906	2848196041	2847087032
Total length (>= 1000 bp)	3051515994	3051516596	138830976	138568504	189199200	189200301	1397571636	1396924746	2410699653	2410496906	2848196041	2847087032
Total length (>= 5000 bp)	3051515994	3051516596	138830976	138568504	189196000	189197101	1397558036	1396911146	2410697553	2410494806	2848188234	2847079225
Total length (>= 10000 bp)	3051515994	3051516596	138830976	138568504	189186385	189187486	1397552846	1396905956	2410676998	2410474251	2848076661	2846967652
Total length (>= 25000 bp)	3051515994	3051516596	138777165	138494593	188669360	188670461	1396403638	1395758520	2409505137	2409302390	2845018961	2843887062
Total length (>= 50000 bp)	3051515994	3051516596	138457564	138174992	188196981	188198082	1392572591	1391909005	2407645685	2407443137	2831464029	2830184806
# contigs	30	36	30	56	121	132	520	691	422	439	2456	2655
Largest contig	244022167	244022167	33256823	16172443	31644432	31644432	60160386	59985386	157947587	157947587	96964098	96964099
