	HG002.B10M	HG002.B10M	AT.DtoL	AT.DtoL	Dro.DtoL	Dro.DtoL	AG.DtoL	AG.DtoL	Vul.DtoL	Vul.DtoL	BP.DtoL	BP.DtoL
Assembly	SPA-C.MR10	SPA-C.5k	SPA-C.MR10	SPA-C.5k	SPA-C.MR10	SPA-C.5k	SPA-C.MR10	SPA-C.5k	SPA-C.MR10	SPA-C.5k	SPA-C.MR10	SPA-C.5k
# contigs (>= 0 bp)	30	32	30	26	123	127	524	571	423	435	2457	2513
# contigs (>= 1000 bp)	30	32	30	26	123	127	524	571	423	435	2457	2513
# contigs (>= 5000 bp)	30	32	30	26	121	125	518	565	422	434	2454	2510
# contigs (>= 10000 bp)	30	32	30	26	120	124	517	564	419	431	2440	2496
# contigs (>= 25000 bp)	30	32	27	23	89	93	455	503	359	371	2275	2338
# contigs (>= 50000 bp)	30	32	19	16	75	78	349	397	307	319	1900	1958
Total length (>= 0 bp)	3051515994	3051516182	138830976	138830576	189199200	189199607	1397571636	1397576335	2410699653	2410700739	2848196041	2848201508
Total length (>= 1000 bp)	3051515994	3051516182	138830976	138830576	189199200	189199607	1397571636	1397576335	2410699653	2410700739	2848196041	2848201508
Total length (>= 5000 bp)	3051515994	3051516182	138830976	138830576	189196000	189196407	1397558036	1397562735	2410697553	2410698639	2848188234	2848193701
Total length (>= 10000 bp)	3051515994	3051516182	138830976	138830576	189186385	189186792	1397552846	1397557545	2410676998	2410678084	2848076661	2848082128
Total length (>= 25000 bp)	3051515994	3051516182	138777165	138776765	188669360	188669767	1396403638	1396431088	2409505137	2409506223	2845018961	2845185049
Total length (>= 50000 bp)	3051515994	3051516182	138457564	138499619	188196981	188170500	1392572591	1392601526	2407645685	2407652168	2831464029	2831524355
# contigs	30	32	30	26	121	125	520	567	422	434	2456	2512
Largest contig	244022167	244022167	33256823	33256823	31644432	56621278	60160386	60242393	157947587	167163817	96964098	97159098
Total length	3051515994	3051516182	138830976	138830576	189196000	189196407	1397565236	1397569935	2410697553	2410698639	2848194941	2848200408
Reference length	3051512984	3051512984	138835578	138835578	189265483	189265483	1398030142	1398030142	2411727275	2411727275	2850212336	2850212336
GC (%)	40.82	40.82	36.59	36.59	37.47	37.47	43.78	43.78	41.34	41.34	41.87	41.87
Reference GC (%)	40.82	40.82	36.59	36.59	37.47	37.47	43.78	43.78	41.34	41.34	41.87	41.87
N50	160955130	154341496	27692425	27692425	25954653	21018467	21995402	16751182	60392802	52634229	31712936	21322496
NG50	160955130	154341496	27692425	27692425	25954653	21018467	21995402	16751182	60392802	52634229	31712936	21322496
N90	78908864	78908864	15776331	19630912	1017489	1017489	2953720	1855100	13406896	13406896	445100	445994
NG90	78908864	78908864	15776331	19630912	1017489	1017489	2953720	1855100	13406896	13406896	443435	444481
auN	160212930.6	154132359.5	25201445.9	26875137.2	21068893.7	27079727.7	24187604.2	19693791	65231840.5	64419170.5	36819682.3	28629745.2
auNG	160213088.6	154132521	25200610.6	26874168.9	21061158.9	27069844.4	24179560.7	19687308.1	65203988.8	64391694.8	36793621.1	28609535.9
L50	8	8	3	3	4	3	21	26	14	15	27	37
LG50	8	8	3	3	4	3	21	26	14	15	27	37
L90	18	19	5	5	14	15	76	112	43	46	436	493
LG90	18	19	5	5	14	15	76	112	43	46	440	497
# misassemblies	3	1	1	5	32	30	124	131	193	167	468	481
# misassembled contigs	3	1	1	3	19	21	81	86	90	90	341	355
Misassembled contigs length	216833605	109467073	338480	3013935	46772892	104673979	259946562	296735820	1684323224	1651620205	674230247	613854810
# local misassemblies	0	0	0	1	2	3	92	143	43	22	58	118
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	5	5	0	0	0	0	0	0	0	0	0	0
# possible TEs	0	0	0	0	0	0	2	0	0	0	0	4
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 1 part	0 + 4 part	0 + 4 part	0 + 19 part	0 + 18 part	0 + 30 part	0 + 29 part	0 + 35 part	0 + 41 part
Unaligned length	0	0	0	19214	53614	62354	176137	358259	1113171	1130736	1107373	1056320
Genome fraction (%)	99.996	99.996	99.631	99.496	99.935	99.932	99.838	99.813	99.626	99.711	99.63	99.564
Duplication ratio	1	1	1.003	1.004	1	1	1.001	1.001	1.002	1.002	1.002	1.003
# N's per 100 kbp	767.51	767.52	2.16	1.87	6.84	7.05	3.75	4.09	1.92	1.97	8.73	8.92
# mismatches per 100 kbp	0	0	0.1	0.18	0.01	0.01	0.47	0.71	0.62	0.35	1.15	1.39
# indels per 100 kbp	0	0	0.24	0.3	0.15	0.15	0.07	0.07	0.27	0.2	0.13	0.14
Largest alignment	244022067	244022067	33256670	33256670	31644332	29700767	55195283	55195283	120367537	78590833	91577661	91609269
Total aligned length	3027985239	3027985228	138758319	138736029	189126128	189121055	1396816339	1396741070	2407836806	2408119297	2846188786	2845523846
NA50	154341396	154341396	27692325	27692325	23344692	21018367	21432086	16461995	35802342	36307465	30053400	20014584
NGA50	154341396	154341396	27692325	27692325	23344692	21018367	21432086	16461995	35802342	36307465	30053400	20014584
NA90	78908764	78908764	15776231	19630463	814468	694913	2612000	1605000	7788968	6763008	353798	353002
NGA90	78908764	78908764	15776231	19630463	814468	694913	2612000	1605000	7788968	6763008	350000	350000
auNA	153689955.8	153689945.7	25193688.1	26845812.3	20235839.2	17399217.6	22526550.8	18161600.6	39974486.1	36337904.2	34883451.1	27209660.2
